Name, Latitude, Longitude
Beinn Tulaichean,56.342234,-4.563315
Carn Dearg,57.092261,-4.253246
Carn Bhac,56.930558,-3.560897
Stob a' Choire Odhair,56.573308,-4.838302
Bidein a' Choire Sheasgaich,57.41971,-5.250472
Sgurr Dubh Mor,57.204869,-6.211385
Foel-fras,53.194157,-3.953149
An Socach,56.902286,-3.513164
Creag Leacach SW Top,56.851149,-3.396264
Binnein Beag,56.766961,-4.911161
Ben Vorlich,56.274021,-4.755046
Carn Ban,57.099149,-4.259938
Carn Cloich-mhuilinn,56.995773,-3.699308
Sgurr na Sgine NW Top,57.148987,-5.400892
Meall Buidhe SE Top,57.029704,-5.540173
Ceann Garbh (old GR),57.803694,-4.918708
Sgurr na Banachdich Central Top,57.219618,-6.240454
Am Bodach,56.677905,-4.991464
Stob a' Bhruaich Leith,56.571512,-4.917416
Beinn a' Chroin,56.331991,-4.609644
Ben Oss North Top,56.394173,-4.770578
Carn Dearg,56.759931,-4.589888
Carn na Caim,56.911722,-4.174444
Spidean Dhomhuill Bhric,57.160075,-5.437697
Beinn a' Chroin East Top,56.332406,-4.599286
Big Brae,57.112848,-3.388425
The Big Gun,52.000939,-9.688806
Stob Coire Leith,56.681373,-5.022752
Mullach nan Coirean,56.749866,-5.072446
Stob Coire nan Dearcag,57.252408,-5.198648
Mount Keen,56.96976,-2.973622
Luinne Bheinn,57.048325,-5.513607
Stob Coire Altruim,56.63438,-4.941026
Sgurr Dubh an Da Bheinn,57.203992,-6.215262
An Socach East Top,56.907718,-3.481211
Beinn a' Chroin West Top,56.331737,-4.612297
Beinn Cheathaich,56.460329,-4.526708
Beinn Sgulaird,56.56624,-5.170399
Toman Coinnich,57.694004,-5.1077
Sron a' Choire Ghairbh,57.00784,-4.928747
A' Bhuidheanach Bheag,56.870342,-4.199001
Luinne Bheinn East Top,57.047977,-5.509055
Sgurr a' Fionn Choire,57.247016,-6.205102
Druim Shionnach West Top,57.123872,-5.201596
East Meur Gorm Craig,57.121068,-3.390104
Broad Crag,54.457348,-3.206899
Sron Dha Mhurchaidh,56.534491,-4.260063
Beinn na Lap,56.78939,-4.659977
Sgurr an Tuill Bhain,57.665995,-5.323656
Meall a' Chrasgaidh,57.712866,-5.048742
Am Basteir,57.24794,-6.202966
Beinn Tarsuinn,57.702051,-5.291634
The Cairnwell,56.87952,-3.421199
Creag a' Choire Aird East Top,57.290979,-5.176314
Maol Chean-dearg,57.491697,-5.465549
Fionn Bheinn,57.611148,-5.102696
Ciste Dhubh South Top,57.197137,-5.209131
East Meur Gorm Craig South Top,57.117549,-3.388221
Beinn Chabhair,56.325779,-4.641476
Ben Vorlich North Top,56.278819,-4.755941
